neighbor_region,pct_domicilios_por_sal_min_0,pct_domicilios_por_sal_min_0_0.5,pct_domicilios_por_sal_min_0.5_1,pct_domicilios_por_sal_min_1_2,pct_domicilios_por_sal_min_2_5,pct_domicilios_por_sal_min_5_10,pct_domicilios_por_sal_min_10_20,pct_domicilios_por_sal_min_20_inf
Região Urbana Homogênea I,0.0,0.08156028368794327,0.14893617021276595,0.33687943262411346,0.19148936170212766,0.1276595744680851,0.1099290780141844,0.0035460992907801418
Região Urbana Homogênea II,0.004464285714285714,0.07589285714285714,0.19196428571428573,0.42410714285714285,0.20089285714285715,0.07142857142857142,0.017857142857142856,0.013392857142857142
Região Urbana Homogênea III,0.0027416038382453737,0.06305688827964359,0.16004112405757367,0.4273474982864976,0.2299520219328307,0.06271418779986292,0.017477724468814255,0.03666895133653187
Região Urbana Homogênea IV,0.003484320557491289,0.09860627177700348,0.2146341463414634,0.4714285714285714,0.15261324041811847,0.0313588850174216,0.009059233449477353,0.018815331010452963
Região Urbana Homogênea V,0.0008382229673093043,0.050293378038558254,0.12070410729253982,0.3067896060352054,0.25901089689857504,0.14333612740989102,0.07041072925398156,0.04861693210393965
Região Urbana Homogênea VI,0.0015723270440251573,0.04559748427672956,0.139937106918239,0.36163522012578614,0.24056603773584906,0.1509433962264151,0.04716981132075472,0.012578616352201259
Região Urbana Homogênea VII,0.0,0.043478260869565216,0.1072463768115942,0.3159420289855073,0.23478260869565218,0.19130434782608696,0.0927536231884058,0.014492753623188406
Região Urbana Homogênea VIII,0.0016680567139282735,0.05087572977481234,0.13678065054211844,0.4049207673060884,0.2589658048373645,0.10925771476230192,0.01834862385321101,0.019182652210175146
Região Urbana Homogênea IX,0.0011827321111768185,0.05736250739207569,0.1153163808397398,0.3116499112950917,0.2371377882909521,0.14251921939680662,0.08397397989355411,0.0508574807806032
Região Urbana Homogênea X,0.0016901408450704226,0.061971830985915494,0.13183098591549297,0.3726760563380282,0.23577464788732394,0.11492957746478873,0.047605633802816905,0.03352112676056338
Região Urbana Homogênea XI,0.006405693950177936,0.11743772241992882,0.22704626334519573,0.4213523131672598,0.14661921708185052,0.046263345195729534,0.009252669039145907,0.025622775800711744
Região Urbana Homogênea XII,0.007001400280056011,0.09801960392078415,0.23144628925785157,0.5077015403080616,0.1264252850570114,0.010202040408081616,0.0014002800560112022,0.017803560712142428
Região Urbana Homogênea XIII,0.006658946149392009,0.12536189924724955,0.24261725535610887,0.4756803705848292,0.10943833236826868,0.009554140127388535,0.0008685581933989577,0.029820497973364217
Região Urbana Homogênea XIV,0.0,0.042741935483870966,0.10564516129032259,0.3064516129032258,0.2669354838709677,0.15806451612903225,0.10080645161290322,0.01935483870967742
Região Urbana Homogênea XV,0.003153468815697267,0.08584442887175893,0.1657323055360897,0.38121934127540297,0.21513665031534687,0.08409250175192712,0.038192011212333565,0.026629292221443588
Região Urbana Homogênea XVI,0.002145922746781116,0.03862660944206009,0.07725321888412018,0.26394849785407726,0.2446351931330472,0.21244635193133046,0.14163090128755365,0.019313304721030045
Região Urbana Homogênea XVII,0.004733218588640275,0.10370051635111877,0.1932013769363167,0.4018932874354561,0.16609294320137694,0.05249569707401033,0.022375215146299483,0.055507745266781414
Região Urbana Homogênea XVIII,0.006636038795303726,0.12021439509954059,0.25191424196018375,0.4504849412965799,0.11459928534966819,0.016590096988259317,0.0035732516590096988,0.03598774885145482
Região Urbana Homogênea XIX,0.0023455824863174357,0.06645817044566067,0.20641125879593433,0.4589523064894449,0.2032838154808444,0.042611415168100075,0.005863956215793589,0.014073494917904612
Região Urbana Homogênea XX,0.0012285012285012285,0.028255528255528257,0.07985257985257985,0.37714987714987713,0.32186732186732187,0.14250614250614252,0.028255528255528257,0.020884520884520884
Região Urbana Homogênea XXI,0.0022371364653243847,0.049217002237136466,0.1297539149888143,0.38478747203579416,0.28187919463087246,0.10067114093959731,0.026845637583892617,0.024608501118568233
Região Urbana Homogênea XXII,0.004474799811587376,0.10574658502119642,0.25129533678756477,0.47715496938294866,0.12152614225153086,0.01460197833254828,0.002119642016015073,0.023080546396608573
Região Urbana Homogênea XXIII,0.0,0.050505050505050504,0.12525252525252525,0.4707070707070707,0.26262626262626265,0.05454545454545454,0.010101010101010102,0.026262626262626262
Região Urbana Homogênea XXIV,0.00375234521575985,0.08505315822388994,0.18574108818011256,0.4965603502188868,0.17510944340212634,0.021263289555972485,0.0031269543464665416,0.029393370856785492
Região Urbana Homogênea XXV,0.004273504273504274,0.11965811965811966,0.2222222222222222,0.5085470085470085,0.0811965811965812,0.021367521367521368,0.021367521367521368,0.021367521367521368
Região Urbana Homogênea XXVI,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.1
Região Urbana Homogênea XXVII,0.009478672985781991,0.08530805687203792,0.24170616113744076,0.5213270142180095,0.12322274881516587,0.014218009478672985,0.0,0.004739336492890996
