neighborhood,neighbor_region,neighbor_latitude,neighbor_longitude
residencial_santa_clara,Região Urbana Homogênea XIX,-21.801775920012272,-46.51668574966902
jardim_ipe,Região Urbana Homogênea XIX,-21.8036397,-46.5463557
sao_benedito,Região Urbana Homogênea XV,-21.7913254,-46.5614093
jardim_santa_rita,Região Urbana Homogênea XV,-21.7941129,-46.5553873
jardim_cascatinha,Região Urbana Homogênea XV,-21.7944974,-46.5602049
jardim_del_rey,Região Urbana Homogênea XVI,-21.7996442,-46.5614093
residencial_summer_ville,Região Urbana Homogênea XVI,-21.8059383,-46.5566912
santana_do_pedregal,Região Urbana Homogênea XVII,-21.781656,-46.5472587
jardim_brasil,Região Urbana Homogênea XVII,-21.7878127,-46.5397335
jardim_daniele,Região Urbana Homogênea XVII,-21.7824336,-46.5456313
boa_esperanca_ii,Região Urbana Homogênea XVII,-21.7878127,-46.5397335
vila_jose_carlos,Região Urbana Homogênea XVIII,-21.786199,-46.5520755
vila_nova,Região Urbana Homogênea XVIII,-21.786983,-46.5553873
nova_aparecida,Região Urbana Homogênea XVIII,-21.7941299,-46.5481619
monte_almo,Região Urbana Homogênea XVIII,-21.7885821,-46.549366
santana,Região Urbana Homogênea XVIII,-21.7857615,-46.5485366
santa_emilia,Região Urbana Homogênea XVIII,-21.7923497,-46.5472587
jardim_monte_almo,Região Urbana Homogênea XVIII,-21.7885821,-46.549366
santo_andre,Região Urbana Homogênea XVIII,-21.793745,-46.5433455
nossa_senhora_aparecida,Região Urbana Homogênea XVIII,-21.7891609,-46.5556884
vila_menezes,Região Urbana Homogênea XVIII,-21.7909649,-46.5466567
jardim_regina,Região Urbana Homogênea XVIII,-21.7909754,-46.5421414
jardim_nova_aparecida,Região Urbana Homogênea XVIII,-21.7941299,-46.5481619
aparecida,Região Urbana Homogênea XVIII,-21.7911189,-46.5491105
bem_bastos,Região Urbana Homogênea XVIII,-21.7885928,-46.5448505
sao_joao,Região Urbana Homogênea XVIII,-21.787787,-46.5505702
jose_carlos,Região Urbana Homogênea XVIII,-21.786199,-46.5520755
